Date,Open,High,Low,Close,Adj Close,Volume
2018-03-26,168.070007,173.100006,166.440002,172.770004,172.770004,37541200
2018-03-27,173.679993,175.149994,166.919998,168.339996,168.339996,40922600
2018-03-28,167.250000,170.020004,165.190002,166.479996,166.479996,41668500
2018-03-29,167.809998,171.750000,166.899994,167.779999,167.779999,38398500
2018-04-02,166.639999,168.940002,164.470001,166.679993,166.679993,37586800
2018-04-03,167.639999,168.750000,164.880005,168.389999,168.389999,30278000
2018-04-04,164.880005,172.009995,164.770004,171.610001,171.610001,34605500
2018-04-05,172.580002,174.229996,172.080002,172.800003,172.800003,26933200
2018-04-06,170.970001,172.479996,168.199997,168.380005,168.380005,35005300
2018-04-09,169.880005,173.089996,169.850006,170.050003,170.050003,29017700
2018-04-10,173.000000,174.000000,171.529999,173.250000,173.250000,28408600
2018-04-11,172.229996,173.919998,171.699997,172.440002,172.440002,22431600
2018-04-12,173.410004,175.000000,173.039993,174.139999,174.139999,22889300
2018-04-13,174.779999,175.839996,173.850006,174.729996,174.729996,25124300
2018-04-16,175.029999,176.190002,174.830002,175.820007,175.820007,21578400
2018-04-17,176.490005,178.940002,176.410004,178.240005,178.240005,26605400
2018-04-18,177.809998,178.820007,176.880005,177.839996,177.839996,20754500
2018-04-19,173.759995,175.389999,172.660004,172.800003,172.800003,34808800
2018-04-20,170.600006,171.220001,165.429993,165.720001,165.720001,65491100
2018-04-23,166.830002,166.919998,164.089996,165.240005,165.240005,36515500
2018-04-24,165.669998,166.330002,161.220001,162.940002,162.940002,33692000
2018-04-25,162.619995,165.419998,162.410004,163.649994,163.649994,28136400
